Date,Open,High,Low,Close,Volume,Day,Weekday,Week,Month,Year
2020-12-24,347.6288153176249,348.5260431760125,347.0338434358165,348.4977111816406,26457900.0,24.0,3.0,52.0,12.0,2020.0
2020-12-25,347.6288153176249,348.5260431760125,347.0338434358165,348.4977111816406,26457900.0,24.0,3.0,52.0,12.0,2020.0
2020-12-26,347.6288153176249,348.5260431760125,347.0338434358165,348.4977111816406,26457900.0,24.0,3.0,52.0,12.0,2020.0
2020-12-27,347.6288153176249,348.5260431760125,347.0338434358165,348.4977111816406,26457900.0,24.0,3.0,52.0,12.0,2020.0
2020-12-28,351.08547730055324,351.8882556036705,350.4527197926856,351.4916076660156,39000400.0,28.0,0.0,53.0,12.0,2020.0
2020-12-29,353.0405114150347,353.2199570144629,350.2260746436619,350.8210754394531,53680500.0,29.0,1.0,53.0,12.0,2020.0
2020-12-30,351.652153407905,352.3699357394344,350.9249462923084,351.32159423828125,49455300.0,30.0,2.0,53.0,12.0,2020.0
2020-12-31,351.12330204270035,353.8432892062716,350.6038724591175,353.10662841796875,78520700.0,31.0,3.0,53.0,12.0,2020.0
2021-01-01,351.12330204270035,353.8432892062716,350.6038724591175,353.10662841796875,78520700.0,31.0,3.0,53.0,12.0,2020.0
2021-01-02,351.12330204270035,353.8432892062716,350.6038724591175,353.10662841796875,78520700.0,31.0,3.0,53.0,12.0,2020.0
2021-01-03,351.12330204270035,353.8432892062716,350.6038724591175,353.10662841796875,78520700.0,31.0,3.0,53.0,12.0,2020.0
2021-01-04,354.4571352854946,354.58937048174835,344.5499867633749,348.2994079589844,110210800.0,4.0,0.0,1.0,1.0,2021.0
2021-01-05,347.64772509043775,351.80324762008,347.6004858848247,350.6982421875,66426200.0,5.0,1.0,1.0,1.0,2021.0
2021-01-06,349.1683123993127,356.034398005617,348.611097202579,352.7949523925781,107997700.0,6.0,2.0,1.0,1.0,2021.0
2021-01-07,355.20327547610503,358.7921297407344,355.02382988067643,358.0365905761719,68766800.0,7.0,3.0,1.0,1.0,2021.0
2021-01-08,359.4437517738404,360.293740438384,356.14767148910244,360.0765380859375,71677200.0,8.0,4.0,1.0,1.0,2021.0
2021-01-09,359.4437517738404,360.293740438384,356.14767148910244,360.0765380859375,71677200.0,8.0,4.0,1.0,1.0,2021.0
2021-01-10,359.4437517738404,360.293740438384,356.14767148910244,360.0765380859375,71677200.0,8.0,4.0,1.0,1.0,2021.0
2021-01-11,356.855997839929,359.43429581140606,356.73321625615046,357.6493225097656,51034700.0,11.0,0.0,2.0,1.0,2021.0
2021-01-12,357.8382713667536,358.7543489255794,355.4488145980365,357.72491455078125,52547700.0,12.0,1.0,2.0,1.0,2021.0
2021-01-13,357.6493140913567,359.69872890136986,356.85598944019347,358.6882019042969,45303600.0,13.0,2.0,2.0,1.0,2021.0
2021-01-14,359.4437871978365,359.9537919756121,357.09214493571363,357.43212890625,49989100.0,14.0,3.0,2.0,1.0,2021.0
2021-01-15,355.7887866312883,356.6009897098656,352.93659342855824,354.8254699707031,107160000.0,15.0,4.0,2.0,1.0,2021.0
2021-01-16,355.7887866312883,356.6009897098656,352.93659342855824,354.8254699707031,107160000.0,15.0,4.0,2.0,1.0,2021.0
