Date,S&P500_Close,S&P500_Open,S&P500_High,S&P500_Low,S&P500_Change_%,VIX_Open,VIX_High,VIX_Low,VIX_Close,Crypto_Volume,Crypto_Market_Cap,Year,Month,Day,DayOfWeek,IsWeekend,Market_Cap_STD,SP500_EMA,SP500_SMA_20,SP500_SMA_50,SP500_SMA_100,Lagged_VIX_Close,Lagged_S&P500_Close,Crypto_Market_Cap_%,Crypto_Volume_Change_%
2018-06-09,2779.0,2765.8,2779.4,2763.6,0.31,12.54,13.31,12.09,12.18,5079198018.307709,261242158887.5402,2018,6,9,5,True,4856665422.940497,2758.3431793536574,2736.1549999999997,2704.2859999999996,2691.722,12.18,2779.0,0.08459945179593031,-8.309055774816276
2018-06-10,2779.0,2765.8,2779.4,2763.6,0.31,12.54,13.31,12.09,12.18,6621595050.668534,243164689324.507,2018,6,10,6,True,6986812570.748317,2762.474543482926,2738.455,2706.4640000000004,2692.6,12.18,2779.0,-6.919813264449104,30.366940347695337
2018-06-11,2782.0,2780.2,2790.2,2780.2,0.11,12.52,12.69,12.14,12.35,8858838559.517351,227755569306.75983,2018,6,11,0,False,12277909327.058752,2766.379634786341,2741.335,2708.702,2693.508,12.18,2779.0,-6.336906917099072,33.78707836600397
2018-06-12,2786.8,2785.6,2789.8,2778.8,0.17,12.29,12.6,11.88,12.34,6359414807.55397,227414246374.07135,2018,6,12,1,False,14519342920.067442,2770.463707829073,2744.01,2711.0319999999997,2694.4639999999995,12.35,2782.0,-0.14986370420156936,-28.213898866891128
2018-06-13,2775.6,2787.9,2791.5,2774.7,-0.4,12.13,12.95,11.98,12.94,6841553082.138404,213420109161.6244,2018,6,13,2,False,19058027586.616035,2771.4909662632585,2746.4,2713.8520000000003,2695.0110000000004,12.34,2786.8,-6.153588632010387,7.581488064149089
2018-06-14,2782.5,2783.2,2789.1,2776.5,0.25,12.98,13.07,11.88,12.12,7773290037.262552,215880072266.60687,2018,6,14,3,False,20985171446.318115,2773.6927730106067,2749.46,2716.7139999999995,2695.555,12.94,2775.6,1.1526388561255763,13.618793042133692
2018-06-15,2779.7,2777.8,2782.8,2761.7,-0.1,12.19,13.16,11.93,11.98,6934908602.202452,219044178515.94867,2018,6,15,4,False,20736842823.32284,2774.8942184084854,2752.38,2718.97,2696.084,12.12,2782.5,1.4656777793895737,-10.78541301097965
2018-06-16,2779.7,2777.8,2782.8,2761.7,-0.1,12.19,13.16,11.93,11.98,4824845725.121101,214873553346.84467,2018,6,16,5,True,19122382678.839527,2775.8553747267883,2755.3,2721.1659999999997,2696.491,11.98,2779.7,-1.9040109613323253,-30.426686177395577
2018-06-17,2779.7,2777.8,2782.8,2761.7,-0.1,12.19,13.16,11.93,11.98,3987242666.825882,216430214695.00027,2018,6,17,6,True,16058930253.874739,2776.6242997814306,2758.22,2723.362,2696.422,11.98,2779.7,0.7244546031418109,-17.36020395292942
2018-06-18,2773.8,2765.8,2775.0,2757.1,-0.21,12.79,13.74,12.28,12.31,4288258627.1933255,215750455485.1907,2018,6,18,0,False,9676209534.366503,2776.0594398251446,2762.415,2725.44,2696.294,11.98,2779.7,-0.3140777782656201,7.549476806915112
2018-06-19,2762.6,2752.0,2765.1,2743.2,-0.4,14.61,14.68,13.21,13.35,5762418903.383962,223384705563.37885,2018,6,19,1,False,5486098096.533041,2773.367551860116,2764.3450000000003,2727.73,2696.054,12.31,2773.8,3.5384630178508125,34.37666438405738
2018-06-20,2767.3,2769.7,2774.9,2763.9,0.17,12.9,13.02,12.25,12.79,6517250909.097105,222104972035.0426,2018,6,20,2,False,4662610865.273755,2772.154041488093,2767.445,2729.98,2695.897,13.35,2762.6,-0.5728832352728586,13.09922132300847
2018-06-21,2749.8,2769.3,2769.3,2744.4,-0.63,12.54,15.18,12.18,14.64,5731441338.408194,224005490436.07178,2018,6,21,3,False,3950324201.542923,2767.6832331904743,2768.205,2732.262,2695.742,12.79,2767.3,0.8556847618563568,-12.057377898279764
2018-06-22,2754.9,2760.8,2764.2,2752.7,0.19,14.6,14.6,13.11,13.77,6749910489.827682,210491500855.09427,2018,6,22,4,False,4488498310.565039,2765.1265865523796,2769.2200000000003,2734.7659999999996,2695.7960000000003,14.64,2749.8,-6.032883191688654,17.7698608654407
2018-06-23,2754.9,2760.8,2764.2,2752.7,0.19,14.6,14.6,13.11,13.77,8032353038.581946,200918291075.66757,2018,6,23,5,True,7275601034.366753,2763.081269241904,2770.235,2736.5959999999995,2695.8720000000003,13.77,2754.9,-4.548026756679857,18.999400817047054
2018-06-24,2754.9,2760.8,2764.2,2752.7,0.19,14.6,14.6,13.11,13.77,7745898427.914899,194779661259.6507,2018,6,24,6,True,10095089504.340519,2761.445015393523,2770.635,2738.4260000000004,2695.9010000000003,13.77,2754.9,-3.055286695478121,-3.566260214050787
