Date,Crypto_Volume,Crypto_Market_Cap
2018-11-10,7203615622.786443,175173301188.2246
2018-11-11,6676000701.460462,175052820774.58167
2018-11-12,6439540020.983726,175244708037.68347
2018-11-13,6629343717.766294,174427998652.3599
2018-11-14,7919429296.765193,167121524568.05
2018-11-15,12360520203.853363,153087199128.7819
2018-11-16,8895006577.815998,154234112635.55963
2018-11-17,6683200100.891277,153832619717.89377
2018-11-18,6333967460.668076,156010507180.88416
2018-11-19,8245880163.325492,145666687677.03897
2018-11-20,12158513379.947695,128755775483.38211
2018-11-21,11341155792.26672,125034038863.24544
2018-11-22,6979956459.813,125345320014.57907
2018-11-23,6844399384.40749,118500958777.23677
2018-11-24,5910626695.835625,117695493161.58585
2018-11-25,8688252981.284859,104038490075.114
2018-11-26,9038685645.951912,106706312883.50366
2018-11-27,8121972471.235368,102620572632.57344
2018-11-28,8754447966.431671,111300161252.47832
2018-11-29,9114326292.978712,115379511092.53847
2018-11-30,7764981260.305747,111623994916.56326
2018-12-01,7040878746.381754,111649625837.04391
2018-12-02,6155377820.796271,112929503459.35709
2018-12-03,5825728413.781531,108077214270.21877
2018-12-04,6203048071.524429,106939757749.9296
2018-12-05,5973476470.826666,104219558844.98796
2018-12-06,6637766586.058235,100212962607.20001
2018-12-07,8037679825.041798,90092692819.45386
2018-12-08,7667320859.935443,91049572649.13081
2018-12-09,6577616794.023895,93440443592.69415
2018-12-10,6281845634.053589,93037829309.03983
2018-12-11,6113125728.060618,90449691876.51929
2018-12-12,6159301637.204086,91395245766.29962
2018-12-13,5466419582.337331,90676018988.13339
2018-12-14,5823247621.779836,87283267713.07738
2018-12-15,5365806568.700617,85666324241.22255
2018-12-16,5086257201.51497,87129471607.8039
2018-12-17,5918702880.493809,90088512807.87508
2018-12-18,8605455692.47098,95026153598.30756
2018-12-19,9776424283.872137,102400990881.72427
2018-12-20,10721386657.007383,106404459785.3018
2018-12-21,11503173005.177711,108660742095.83
2018-12-22,8511623946.606768,105734149990.70216
2018-12-23,9266256200.6531,110929084653.52289
2018-12-24,12033777067.228806,117153149791.25894
2018-12-25,11131273503.992613,107216917022.84308
2018-12-26,9119828441.464575,107393536133.94705
2018-12-27,7667818106.489999,105098456069.43013
2018-12-28,8157322523.054786,104101397010.16972
2018-12-29,9274043891.33287,109996995277.22272
2018-12-30,8250234114.542558,108389189627.66252
2018-12-31,7109688448.070576,107354447420.67303
2019-01-01,7223382060.167893,106256370641.49066
2019-01-02,8353537408.022637,110410276582.27115
2019-01-03,8828202371.331787,110968994869.5531
2019-01-04,8382425136.797066,110157313347.88199
2019-01-05,9776266376.722347,111997445191.07669
2019-01-06,9326333768.561615,112764158528.26772
2019-01-07,9376823285.666788,115482542507.52489
2019-01-08,7696435058.720251,114890437816.92372
2019-01-09,7757246388.984753,115504202845.24007
2019-01-10,9884959712.801529,108799366469.03052
2019-01-11,9827246273.805733,103704643500.6283
2019-01-12,7093066828.131638,103300600769.35583
2019-01-13,6336852333.782345,101602842352.0687
2019-01-14,8158751622.610777,101305441917.24243
2019-01-15,9081976552.401808,103517464408.11887
2019-01-16,8732501524.389091,102527295046.82378
2019-01-17,8453291660.078782,102278829986.84909
2019-01-18,8271899372.3079195,102383423725.29561
2019-01-19,7413897474.872722,103717863312.56302
2019-01-20,7635714429.009219,102014150932.00708
2019-01-21,7401149815.837912,99871533957.32831
2019-01-22,7637581540.701408,99941950873.07753
2019-01-23,8070504362.951454,100748123553.7597
2019-01-24,6353837711.858224,100266929778.29095
2019-01-25,6160077228.91591,100112325884.21112
2019-01-26,6280189330.91903,100588401651.64665
2019-01-27,6620367193.348694,99772596001.86913
2019-01-28,7928479115.457728,95633840013.87329
2019-01-29,7765380008.206906,94253987385.16814
2019-01-30,7763801284.224342,95485193607.36273
2019-01-31,7482161104.499672,95965705333.46164
2019-02-01,6454630814.914585,95225483686.13493
2019-02-02,5854940721.789049,95845623915.47675
2019-02-03,6153112322.508188,95989523243.78198
2019-02-04,6122364639.32705,95606748219.21677
2019-02-05,6185500626.073027,95472741209.52339
2019-02-06,6256292648.013524,93994076067.42989
2019-02-07,5894576372.813951,93887601251.44226
2019-02-08,7169690222.106178,96606934927.89578
2019-02-09,9925879055.545649,101701963595.22829
2019-02-10,7439525083.366885,101559604776.54395
2019-02-11,8107102631.226565,101568374334.17072
2019-02-12,7597497035.836972,101096234205.93872
2019-02-13,8570169308.084459,101410984978.73051
2019-02-14,8053318981.363336,100780998346.3927
2019-02-15,6939171647.420005,100937616239.8919
2019-02-16,6945170353.014405,101483889481.4025
2019-02-17,6873939421.451162,101524728894.2196
2019-02-18,11340934414.113749,106992388901.66716
2019-02-19,15221614381.036625,111921192572.10072
2019-02-20,12976814301.37553,112105464997.16827
2019-02-21,11768410932.719856,111932314821.06433
2019-02-22,10940580816.39596,112355436068.94073
2019-02-23,12110622729.323303,114815576914.92706
2019-02-24,17072668734.9363,115438413918.53
2019-02-25,18116981781.14177,109478710348.06339
2019-02-26,14357649677.139795,109547605005.48738
2019-02-27,11821416772.566076,109306902135.0691
2019-02-28,13397406709.465845,109311906171.69095
2019-03-01,12059506665.940355,109757941830.69229
2019-03-02,11528587315.451809,109240249475.87082
2019-03-03,10991859640.946465,109578616037.53198
2019-03-04,12806914105.181763,106931755817.41832
2019-03-05,14726837939.011063,108397000560.26184
2019-03-06,17190877046.321346,110810992029.29372
2019-03-07,15325096927.338486,111926588795.36096
2019-03-08,15104918178.057491,111549665153.69289
2019-03-09,16128474691.169346,111821884686.02953
2019-03-10,14971861560.666025,111744520780.16412
2019-03-11,14347347618.428394,111107496604.30855
2019-03-12,15612020747.850025,111536541085.73238
2019-03-13,14982321996.831907,111831364093.23485
2019-03-14,15177418664.083725,111863188344.19318
2019-03-15,15935283936.651031,112667452241.44571
2019-03-16,16551866695.454727,115786807195.812
2019-03-17,13322785597.494444,115420379238.5625
2019-03-18,13629942492.374743,115379716069.79832
2019-03-19,13616844877.92741,115749888360.38638
2019-03-20,14296597867.551071,115900549115.96362
2019-03-21,14936348724.103268,116179164753.991
