Date,Volume,MarketCap,symbol
2019-02-09,132456575.75749332,1770475577.879519,TRON
2019-02-10,120582053.73973204,1698309180.031205,TRON
2019-02-11,123469202.85284336,1667165742.9177403,TRON
2019-02-12,116068434.3037064,1611342434.1288223,TRON
2019-02-13,106380083.87360428,1610534005.411369,TRON
2019-02-14,91092207.39547576,1565048894.344202,TRON
2019-02-15,81564239.34385133,1567481017.7851608,TRON
2019-02-16,74898555.93407041,1569259774.5658088,TRON
2019-02-17,63935768.84779058,1561183634.1075542,TRON
2019-02-18,97562807.41941558,1608871598.9018204,TRON
2019-02-19,132748346.0016798,1671113940.7329695,TRON
2019-02-20,123260684.48600651,1640344858.416188,TRON
2019-02-21,111924901.39563374,1635646843.639725,TRON
2019-02-22,109406107.16196692,1638903986.078359,TRON
2019-02-23,111721535.48202623,1666840197.206637,TRON
2019-02-24,247718442.79911855,1676827374.4118774,TRON
2019-02-25,257278755.10913488,1614017340.5227084,TRON
2019-02-26,161799458.24479535,1611707811.1550636,TRON
2019-02-27,130353907.37508292,1610562940.5088975,TRON
2019-02-28,140029357.9017715,1593395516.2051885,TRON
2019-03-01,131621248.44671156,1579629415.4990816,TRON
2019-03-02,167217260.3917514,1526442789.3111527,TRON
2019-03-03,139893595.43199337,1524609298.7501123,TRON
2019-03-04,152760001.78112692,1473821343.2035232,TRON
2019-03-05,224562743.4705305,1539523962.2060978,TRON
2019-03-06,205746446.4796393,1557412180.7487636,TRON
2019-03-07,161367880.47050035,1546035056.844142,TRON
2019-03-08,152896280.0707385,1516381494.8122334,TRON
2019-03-09,168209102.48484337,1499119230.6357625,TRON
2019-03-10,154077575.34999496,1503441646.3763096,TRON
2019-03-11,163824542.20376465,1484424188.6899092,TRON
2019-03-12,135744203.5469855,1482300283.146231,TRON
2019-03-13,109544694.8192242,1487357953.597376,TRON
2019-03-14,141698094.39312196,1504528520.140598,TRON
2019-03-15,159811133.31506816,1512607476.2769215,TRON
2019-03-16,198185851.25483647,1549944193.4129672,TRON
2019-03-17,192968948.8110053,1539143613.503019,TRON
2019-03-18,184975314.6031721,1529727433.8830695,TRON
2019-03-19,174093668.79222453,1522915089.669906,TRON
2019-03-20,163967117.03890392,1522467251.996562,TRON
2019-03-21,170664818.75932896,1516552746.8470142,TRON
2019-03-22,183676571.918923,1508502815.5119028,TRON
2019-03-23,265400450.5346898,1566148468.7115314,TRON
2019-03-24,361650599.827158,1590601772.7333765,TRON
2019-03-25,279125526.60275763,1536605790.6583884,TRON
2019-03-26,254679842.14571145,1504154649.7227557,TRON
2019-03-27,245998576.93380612,1546248654.9215045,TRON
2019-03-28,251961355.21916893,1552114690.5188153,TRON
2019-03-29,274158559.7338268,1567486413.295949,TRON
2019-03-30,245518212.7324905,1569948830.5232005,TRON
2019-03-31,225113246.58718196,1584802384.5300412,TRON
2019-04-01,268384855.4105931,1620570857.090166,TRON
2019-04-02,587124942.6911545,1747637509.239884,TRON
2019-04-03,622424367.233076,1860695279.3310688,TRON
2019-04-04,549922114.1474138,1737544629.341211,TRON
2019-04-05,477852695.6667422,1801697183.1689556,TRON
2019-04-06,420238294.4203996,1800279264.0857868,TRON
2019-04-07,526683475.8407471,1878967581.223344,TRON
2019-04-08,656916961.4896541,1978216169.225654,TRON
2019-04-09,763889346.8531805,2018399178.672723,TRON
2019-04-10,514352274.8654842,2028017984.8433924,TRON
2019-04-11,542240842.52946,1824188901.7266476,TRON
2019-04-12,426915000.6601326,1774021928.7679014,TRON
2019-04-13,340157419.275382,1778844204.654147,TRON
2019-04-14,326313849.11580575,1778386575.7456765,TRON
2019-04-15,376190187.6376575,1809203933.0697565,TRON
2019-04-16,321575295.1899947,1791145292.2511835,TRON
2019-04-17,283761429.5746492,1800592923.4427664,TRON
2019-04-18,315752787.04588205,1812183288.596752,TRON
2019-04-19,310539624.97324866,1776856355.9351869,TRON
2019-04-20,308998645.8312147,1763215494.110254,TRON
2019-04-21,355807413.91254306,1690223813.8223464,TRON
2019-04-22,340034888.7075995,1686511141.2313223,TRON
2019-04-23,344239306.62223524,1678489639.8639317,TRON
2019-04-24,322724356.6827455,1584336970.3823087,TRON
2019-04-25,348135496.7525515,1609296980.065183,TRON
2019-04-26,476700249.500739,1552587076.225185,TRON
2019-04-27,351293963.16505706,1585283738.4142013,TRON
2019-04-28,306262627.4205895,1586086886.0799394,TRON
2019-04-29,346655514.33756727,1562433213.159044,TRON
2019-04-30,359008496.21166205,1544526815.2155087,TRON
2019-05-01,349986755.1843329,1571889658.23727,TRON
2019-05-02,366785735.8394251,1591395126.5304885,TRON
2019-05-03,431604758.731489,1597801960.3839617,TRON
2019-05-04,414323265.5308921,1578078851.451187,TRON
2019-05-05,391248312.9369904,1556557054.3437295,TRON
2019-05-06,407131837.59270906,1579673682.467803,TRON
2019-05-07,366778518.49200034,1610397919.7733653,TRON
2019-05-08,438759001.8666316,1646284902.0465174,TRON
2019-05-09,385138446.75194377,1597805458.782209,TRON
2019-05-10,383577279.009875,1559974173.144101,TRON
2019-05-11,453604613.4046657,1641238694.7975538,TRON
2019-05-12,526740714.6026504,1637296897.9563043,TRON
2019-05-13,473640335.5542288,1654620661.4141202,TRON
2019-05-14,566462646.0611354,1756006228.8072307,TRON
2019-05-15,709901177.1796963,1962303384.7683072,TRON
2019-05-16,858879393.9801708,2000089586.1742003,TRON
2019-05-17,697790781.350522,1763286916.6571355,TRON
2019-05-18,569791997.1975508,1822465045.6196,TRON
2019-05-19,477119499.0798312,1881594249.3348663,TRON
2019-05-20,495491755.6112064,1847601113.867247,TRON
2019-05-21,570264349.7427529,1909094613.2142377,TRON
2019-05-22,559029909.589042,1881820320.548727,TRON
2019-05-23,532961052.0628783,1802319595.4886389,TRON
2019-05-24,521885889.6520443,1876571230.2810807,TRON
2019-05-25,534295188.2139826,1898688759.125376,TRON
2019-05-26,640871313.5734228,1974647030.501181,TRON
2019-05-27,947681036.752668,2222653085.561129,TRON
2019-05-28,1176705447.96403,2305550034.0332704,TRON
2019-05-29,782505055.666593,2256687832.1990147,TRON
2019-05-30,749033440.6844546,2280185871.0771284,TRON
2019-05-31,803618698.1783218,2133140465.43564,TRON
2019-06-01,947997239.0259172,2398013024.5102606,TRON
2019-06-02,1287059743.456658,2605237521.644201,TRON
2019-06-03,1260981922.5265446,2516426227.709845,TRON
2019-06-04,1373741269.8436055,2312161224.554456,TRON
2019-06-05,1005486205.8687954,2311259182.9851108,TRON
2019-06-06,740644902.7361025,2219165500.924021,TRON
