Sno,Name,Symbol,Date,High,Low,Open,Close,Volume,Marketcap
16412,IOTA,MIOTA,2019-08-01 23:59:00,0.291310055,0.282004058,0.290493785,0.288899538,11870776.81,803005014.4
16413,IOTA,MIOTA,2019-08-02 23:59:00,0.295439558,0.286184093,0.288933063,0.287890137,11505258.27,800199353.1
16414,IOTA,MIOTA,2019-08-03 23:59:00,0.292202502,0.283239147,0.288088629,0.283542536,10157836.6,788115064.5
16415,IOTA,MIOTA,2019-08-04 23:59:00,0.287549739,0.278164591,0.283603071,0.285354889,8428939.761,793152554.9
16416,IOTA,MIOTA,2019-08-05 23:59:00,0.299208099,0.28449781,0.285292238,0.292244942,10856181.06,812303665.8
16417,IOTA,MIOTA,2019-08-06 23:59:00,0.297211339,0.275017553,0.292132148,0.278231883,11019234.64,773353945.3
16418,IOTA,MIOTA,2019-08-07 23:59:00,0.284728512,0.275130019,0.278239406,0.27634315,9061755.197,768104154.4
16419,IOTA,MIOTA,2019-08-08 23:59:00,0.277656762,0.267903665,0.276436162,0.274943555,7778112.298,764213936.3
16420,IOTA,MIOTA,2019-08-09 23:59:00,0.274869106,0.250681304,0.274869106,0.254281156,11221693.82,706782172.7
16421,IOTA,MIOTA,2019-08-10 23:59:00,0.262653265,0.251272882,0.254281156,0.261686372,8155615.129,727365195.3
16422,IOTA,MIOTA,2019-08-11 23:59:00,0.271888225,0.26102986,0.261656101,0.269399607,7896853.6,748804365.2
16423,IOTA,MIOTA,2019-08-12 23:59:00,0.269749223,0.258664405,0.269749223,0.259532992,6373686.889,721379810.8
16424,IOTA,MIOTA,2019-08-13 23:59:00,0.259506023,0.251618518,0.259295204,0.256697289,7800481.579,713497889.1
16425,IOTA,MIOTA,2019-08-14 23:59:00,0.256726205,0.230631978,0.25665743,0.231498139,9702402.517,643456086.5
16426,IOTA,MIOTA,2019-08-15 23:59:00,0.245824399,0.223276562,0.232029238,0.24375276,6894432.773,677518178.9
16427,IOTA,MIOTA,2019-08-16 23:59:00,0.244589406,0.231163589,0.243883255,0.242068669,6755213.742,672837197.4
16428,IOTA,MIOTA,2019-08-17 23:59:00,0.247780025,0.238960223,0.24213386,0.242289904,4917302.963,673452126.4
16429,IOTA,MIOTA,2019-08-18 23:59:00,0.25272008,0.240456382,0.242213334,0.248019482,5188150.229,689377661.7
16430,IOTA,MIOTA,2019-08-19 23:59:00,0.255023249,0.246399907,0.247830132,0.252247647,5339511.327,701129973.1
16431,IOTA,MIOTA,2019-08-20 23:59:00,0.252981273,0.2412671,0.252318084,0.249688832,5265374.973,694017670.4
16432,IOTA,MIOTA,2019-08-21 23:59:00,0.250040638,0.233545256,0.249688832,0.240492614,4421607.766,668456502.2
16433,IOTA,MIOTA,2019-08-22 23:59:00,0.270153507,0.234262848,0.240492614,0.261546683,9722628.91,726976927.0
16434,IOTA,MIOTA,2019-08-23 23:59:00,0.265759276,0.25727852,0.261546683,0.260327832,7733393.408,723589093.7
16435,IOTA,MIOTA,2019-08-24 23:59:00,0.265631062,0.252896434,0.260167165,0.259345122,5678565.72,720857620.6
16436,IOTA,MIOTA,2019-08-25 23:59:00,0.276728527,0.259013514,0.259299006,0.26463544,8070254.325,735562218.7
16437,IOTA,MIOTA,2019-08-26 23:59:00,0.276372742,0.264011616,0.265250185,0.26934503,6436897.1,748652666.4
16438,IOTA,MIOTA,2019-08-27 23:59:00,0.269823017,0.258414519,0.26939743,0.259977927,5996268.208,722616520.0
16439,IOTA,MIOTA,2019-08-28 23:59:00,0.262129584,0.243075725,0.260286037,0.243075725,6743276.442,675636340.1
16440,IOTA,MIOTA,2019-08-29 23:59:00,0.259885499,0.234043828,0.243055134,0.250507819,7889568.733,696294067.8
16441,IOTA,MIOTA,2019-08-30 23:59:00,0.252818358,0.245269628,0.250507819,0.252650055,4923287.931,702248480.2
16442,IOTA,MIOTA,2019-08-31 23:59:00,0.253255278,0.243181207,0.252691872,0.247334263,5101617.171,687473073.5
16443,IOTA,MIOTA,2019-09-01 23:59:00,0.250578177,0.23918357,0.247384643,0.241587286,5111188.021,671499176.4
16444,IOTA,MIOTA,2019-09-02 23:59:00,0.254552516,0.240685521,0.241430535,0.250026593,5156804.424,694956487.2
16445,IOTA,MIOTA,2019-09-03 23:59:00,0.251958582,0.247151893,0.249674417,0.249946937,5912989.859,694735081.2
16446,IOTA,MIOTA,2019-09-04 23:59:00,0.250203847,0.242510647,0.249912152,0.247032834,4683799.294,686635243.1
16447,IOTA,MIOTA,2019-09-05 23:59:00,0.248962442,0.239192893,0.247167187,0.24247055,5063507.429,673954237.0
16448,IOTA,MIOTA,2019-09-06 23:59:00,0.244765598,0.227869571,0.24247055,0.231293335,6900832.227,642886828.2
16449,IOTA,MIOTA,2019-09-07 23:59:00,0.242809601,0.230414827,0.231236731,0.242189815,3822944.37,673173924.4
16450,IOTA,MIOTA,2019-09-08 23:59:00,0.248992672,0.240911766,0.24218234,0.245155814,4028777.978,681418009.7
16451,IOTA,MIOTA,2019-09-09 23:59:00,0.24532983,0.235290089,0.245170482,0.23969264,5140579.602,666232952.1
16452,IOTA,MIOTA,2019-09-10 23:59:00,0.243368492,0.23779382,0.239661251,0.238899032,3461868.779,664027094.9
16453,IOTA,MIOTA,2019-09-11 23:59:00,0.240701869,0.236069882,0.238911941,0.238680554,2895617.915,663419829.1
16454,IOTA,MIOTA,2019-09-12 23:59:00,0.239565005,0.234601407,0.238759061,0.236494103,3289783.368,657342521.1
16455,IOTA,MIOTA,2019-09-13 23:59:00,0.24316199,0.236027503,0.2365841,0.241801185,3309017.848,672093717.2
16456,IOTA,MIOTA,2019-09-14 23:59:00,0.249007259,0.240186416,0.241729182,0.247678735,3040655.062,688430543.3
16457,IOTA,MIOTA,2019-09-15 23:59:00,0.25062933,0.244851313,0.247678735,0.249508863,3340807.448,693517441.9
16458,IOTA,MIOTA,2019-09-16 23:59:00,0.255386178,0.243886528,0.249622082,0.24935881,3773709.914,693100364.3
16459,IOTA,MIOTA,2019-09-17 23:59:00,0.265757084,0.248521467,0.24949373,0.263100989,5356221.101,731297166.0
16460,IOTA,MIOTA,2019-09-18 23:59:00,0.314283651,0.262492278,0.263271314,0.297942612,13018764.29,828140511.6
16461,IOTA,MIOTA,2019-09-19 23:59:00,0.301978828,0.27461432,0.298179988,0.298102183,10469837.92,828584044.1
16462,IOTA,MIOTA,2019-09-20 23:59:00,0.314601987,0.286746526,0.298098883,0.312740015,10996208.31,869270342.0
16463,IOTA,MIOTA,2019-09-21 23:59:00,0.314938624,0.291530424,0.313472919,0.294232016,8844657.775,817826798.3
16464,IOTA,MIOTA,2019-09-22 23:59:00,0.294232016,0.275906856,0.294232016,0.279364784,5563087.361,776502877.3
16465,IOTA,MIOTA,2019-09-23 23:59:00,0.295016829,0.277691854,0.279203004,0.278718101,7028349.927,774705401.2
16466,IOTA,MIOTA,2019-09-24 23:59:00,0.284853495,0.246182953,0.278542219,0.25499265,11599278.89,708759793.6
16467,IOTA,MIOTA,2019-09-25 23:59:00,0.271691022,0.241966577,0.25499265,0.262344358,9996247.065,729194088.1
16468,IOTA,MIOTA,2019-09-26 23:59:00,0.26977975,0.248984693,0.262620919,0.268172879,9037699.677,745394639.3
16469,IOTA,MIOTA,2019-09-27 23:59:00,0.269825313,0.257497034,0.268075367,0.266412714,6916587.96,740502207.5
16470,IOTA,MIOTA,2019-09-28 23:59:00,0.273086016,0.262661835,0.266214452,0.266680525,3508094.482,741246595.0
16471,IOTA,MIOTA,2019-09-29 23:59:00,0.266973275,0.256229247,0.266650789,0.262271427,3358638.957,728991374.9
16472,IOTA,MIOTA,2019-09-30 23:59:00,0.267308077,0.253309888,0.262289691,0.266230839,5786317.992,739996679.4
16473,IOTA,MIOTA,2019-10-01 23:59:00,0.277662029,0.264150023,0.26620983,0.270919734,5869939.587,753029605.5
16474,IOTA,MIOTA,2019-10-02 23:59:00,0.281826685,0.269088163,0.270919734,0.281659377,5972126.498,782880768.7
16475,IOTA,MIOTA,2019-10-03 23:59:00,0.281844162,0.26853991,0.281526392,0.272148137,4058275.316,756443988.8
16476,IOTA,MIOTA,2019-10-04 23:59:00,0.274215141,0.267271294,0.27227001,0.271784242,4533926.685,755432531.7
16477,IOTA,MIOTA,2019-10-05 23:59:00,0.27969043,0.269357793,0.271705947,0.276467025,7934691.124,768448467.0
16478,IOTA,MIOTA,2019-10-06 23:59:00,0.277106847,0.267778369,0.276310288,0.270331061,6469439.674,751393369.7
16479,IOTA,MIOTA,2019-10-07 23:59:00,0.28472465,0.268245272,0.270473679,0.284115456,9482791.662,789707514.2
16480,IOTA,MIOTA,2019-10-08 23:59:00,0.287834471,0.271661136,0.283904321,0.277034898,11049093.15,770026889.3
16481,IOTA,MIOTA,2019-10-09 23:59:00,0.281652273,0.27025136,0.277034898,0.28065177,10688915.44,780080094.1
16482,IOTA,MIOTA,2019-10-10 23:59:00,0.286039906,0.270321111,0.280418708,0.277306446,7709644.535,770781664.8
16483,IOTA,MIOTA,2019-10-11 23:59:00,0.278442016,0.26918046,0.277199651,0.271702924,5686130.197,755206505.6
16484,IOTA,MIOTA,2019-10-12 23:59:00,0.276665767,0.268741091,0.271706543,0.269867738,5713986.332,750105550.4
16485,IOTA,MIOTA,2019-10-13 23:59:00,0.286012797,0.269394115,0.269838284,0.278965965,7376922.689,775394347.4
16486,IOTA,MIOTA,2019-10-14 23:59:00,0.284663418,0.278130918,0.278965965,0.284663418,7887383.676,791230591.1
16487,IOTA,MIOTA,2019-10-15 23:59:00,0.286955094,0.276947644,0.284924863,0.280802321,5722667.562,780498554.0
16488,IOTA,MIOTA,2019-10-16 23:59:00,0.28253092,0.267206732,0.280827783,0.273179139,5142226.894,759309688.6
16489,IOTA,MIOTA,2019-10-17 23:59:00,0.280485247,0.270500832,0.272909369,0.277802466,3997205.179,772160367.3
